"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2,C5,C6";"C2_3x2msk";4;"0.10uF";;;
1;"C11,C12,C15,C16";"C2_3x2msk";4;"0.22uF";;;
1;"C3,C7,C13,C17";"C2_3x2msk";4;"0.47uF";;;
1;"C4,C8,C14,C18";"C2_3x2msk";4;"1.0uF";;;
2;"C9,C10,C19,C20";"C3msk";4;"0.1uF";;;
3;"C21,C22";"C1V7msk";2;"10uF";;;
4;"D1,D2,D3,D4,D5,D6,D7,D8,D13,D14,D15,D16,D17,D18,D19,D20";"DO35_3msk";16;"1N5229B";;;
6;"D25,D26";"DO15msk";2;"1N5818";;;
7;"H1,H5";"Hardware";2;"M3x6";;;
8;"H2,H6";"Hardware";2;"M3x10";;;
9;"H3,H7";"Hardware";2;"M3x11";;;
11;"P1";"2x05msk";1;"CONN_02X05";;;
11;"J9,P6";"SIP10msk";2;"CONN_01X10";;;
13;"R1,R2,R3,R4,R29,R30,R31,R32";"R4valmsk";8;"10k";;;
14;"R5,R13";"R4msk";2;"100k";;;
14;"R33,R41";"R4msk";2;"150k";;;
14;"R36,R44";"R4msk";2;"390k";;;
14;"R34,R42";"R4msk";2;"1.0M";;;
14;"R6,R14";"R4msk";2;"1.2M";;;
14;"R7,R15";"R4msk";2;"1.8M";;;
14;"R35,R43";"R4msk";2;"5.6M";;;
14;"R8,R16";"R4msk";2;"10M";;;
15;"R9,R10,R11,R12,R37,R38,R39,R40";"R4valmsk";8;"22k";;;
16;"R17,R18,R19,R20,R45,R46,R47,R48";"R4valmsk";8;"27k";;;
19;"U1,U2";"DIP14msk";2;"socket";;;
